Timestamp,ClassID,Confidence
error
4868.0,mandatory,0.5707399845123291
5801.0,mandatory,0.4142054319381714
start frame,7001.0,
7868.0,danger,0.4258250594139099
8201.0,danger,0.5700344443321228
8334.0,danger,0.49447301030158997
8468.0,mandatory,0.4943053126335144
8534.0,mandatory,0.6338367462158203
error
8601.0,mandatory,0.6482405066490173
8668.000000000002,mandatory,0.7377152442932129
8734.0,mandatory,0.4871957004070282
8801.0,mandatory,0.471849262714386
8868.0,mandatory,0.4069792628288269
8934.000000000002,mandatory,0.4680831730365753
9001.0,mandatory,0.530971884727478
9068.0,mandatory,0.7796726226806641
9134.0,mandatory,0.7470832467079163
9201.0,mandatory,0.6912506818771362
9268.0,mandatory,0.7552879452705383
9334.0,mandatory,0.7063121199607849
9401.0,mandatory,0.5341622829437256
9468.0,mandatory,0.48279425501823425
10668.000000000002,danger,0.4070001244544983
10734.0,danger,0.6470057964324951
10801.0,danger,0.47058552503585815
10934.000000000002,danger,0.405923455953598
15468.0,other,0.5322695970535278
15534.0,other,0.5561180710792542
end : 28268qqqqqqqqqqq
